Город;Численность населения;Страна
Старый Оскол;222.00;Россия
Рубцовск;155.00;Россия
Красноярск;972.00;Россия
Рыбинск;207.00;Россия
Ногинск;116.00;Россия
Уфа;1031.00;Россия
Сергиев Посад;106.00;Россия
Курган;322.00;Россия
Саранск;296.00;Россия
Самара;1134.00;Россия
Новочебоксарск;127.00;Россия
Новокузнецк;564.00;Россия
Новый Уренгой;119.60;Россия
Хасавюрт;130.00;Россия
Одинцово;109.60;Россия
Щёлково;108.00;Россия
Рязань;509.00;Россия
Обнинск;105.60;Россия
Норильск;202.00;Россия
Краснодар;713.00;Россия
Таганрог;255.00;Россия
Хабаровск;581.00;Россия
Омск;1128.00;Россия
Смоленск;314.00;Россия
Березники;164.00;Россия
Иркутск;581.00;Россия
Нефтеюганск;119.00;Россия
Первоуральск;134.00;Россия
Миасс;152.00;Россия
Кострома;270.00;Россия
Сызрань;179.00;Россия
Коломна;148.00;Россия
Чита;309.00;Россия
Бийск;220.00;Россия
Волжский;305.00;Россия
Ковров;148.00;Россия
Челябинск;1096.00;Россия
Сургут;302.00;Россия
Махачкала;469.00;Россия
Шахты;245.00;Россия
Петрозаводск;271.00;Россия
Ульяновск;603.00;Россия
Оренбург;526.00;Россия
Набережные Челны;510.00;Россия
Элиста;103.00;Россия
Санкт-Петербург;4600.00;Россия
Новокуйбышевск;110.40;Россия
Ухта;103.70;Россия
Барнаул;598.00;Россия
Нижний Тагил;373.00;Россия
Златоуст;187.00;Россия
Магнитогорск;410.00;Россия
Владивосток;578.00;Россия
Волгоград;980.00;Россия
Елец;110.40;Россия
Химки;189.00;Россия
Люберцы;158.00;Россия
Улан-Удэ;377.00;Россия
Черкесск;116.50;Россия
Балашиха;198.00;Россия
Йошкар-Ола;249.00;Россия
Невинномысск;128.00;Россия
Арзамас;105.30;Россия
Новошахтинск;113.00;Россия
Казань;1137.00;Россия
Дербент;112.50;Россия
Великий Новгород;215.00;Россия
Нижневартовск;250.00;Россия
Череповец;310.00;Россия
Подольск;183.00;Россия
Абакан;164.00;Россия
Ангарск;241.00;Россия
Копейск;137.00;Россия
Кемерово;521.00;Россия
Кисловодск;129.00;Россия
Екатеринбург;1344.00;Россия
Серпухов;123.00;Россия
Междуреченск;104.00;Россия
Чебоксары;448.00;Россия
Батайск;104.00;Россия
Волгодонск;169.00;Россия
Ижевск;611.00;Россия
Калуга;328.00;Россия
Новосибирск;1409.00;Россия
Сыктывкар;236.00;Россия
Новомосковск;131.00;Россия
Благовещенск;206.00;Россия
Салават;156.00;Россия
Белгород;363.00;Россия
Нефтекамск;119.50;Россия
Дзержинск;244.00;Россия
Воронеж;848.00;Россия
Комсомольск-на-Амуре;270.00;Россия
Красногорск;104.00;Россия
Нижнекамск;227.00;Россия
Альметьевск;142.00;Россия
Октябрьский;109.70;Россия
Электросталь;146.00;Россия
Стерлитамак;272.00;Россия
Мытищи;165.00;Россия
Жуковский;105.00;Россия
Пермь;987.00;Россия
Петропавловск-Камчатский;194.00;Россия
Камышин;116.00;Россия
Находка;166.00;Россия
Москва;10563.00;Россия
Тула;492.00;Россия
Уссурийск;153.00;Россия
Архангельск;348.00;Россия
Орск;245.00;Россия
Северск;107.00;Россия
Нижний Новгород;1271.00;Россия
Армавир;188.00;Россия
Артём;101.80;Россия
Южно-Сахалинск;175.00;Россия
Мурманск;309.00;Россия
Новотроицк;101.00;Россия
Кызыл;110.00;Россия
Пенза;506.00;Россия
Владикавказ;312.00;Россия
Новочеркасск;177.00;Россия
Калининград;419.00;Россия
Нальчик;269.00;Россия
Сочи;342.00;Россия
Саратов;827.00;Россия
Майкоп;155.00;Россия
Астрахань;506.00;Россия
Псков;192.00;Россия
Ярославль;607.00;Россия
Балаково;197.00;Россия
Липецк;502.00;Россия
Иваново;403.00;Россия
Тюмень;580.00;Россия
Ачинск;110.00;Россия
Ставрополь;369.00;Россия
Энгельс;209.00;Россия
Новороссийск;229.00;Россия
Братск;250.00;Россия
Киселёвск;104.00;Россия
Муром;117.00;Россия
Назрань;139.00;Россия
Вологда;286.00;Россия
Димитровград;127.50;Россия
Королёв;176.00;Россия
Курск;414.00;Россия
Якутск;268.00;Россия
Ростов-на-Дону;1048.00;Россия
Томск;509.00;Россия
Орёл;317.00;Россия
Брянск;409.00;Россия
Орехово-Зуево;121.00;Россия
Пятигорск;143.00;Россия
Северодвинск;187.00;Россия
Грозный;251.00;Россия
Тверь;410.00;Россия
Ноябрьск;111.00;Россия
Киров;464.00;Россия
Тамбов;278.00;Россия
Владимир;338.00;Россия
Прокопьевск;211.00;Россия
Тольятти;722.00;Россия
